Var1,Var2,Var3,Var4,Var5
451,2,32,-1.65988694457906,4.5
451,2,33,-0.0754931380490914,48.3
451,2,34,-1.57271850243504,4.6
451,2,35,-0.833819828032098,14.5
451,2,36,0.478039067359836,77.3
451,3,1,NaN,NaN
451,3,2,-0.383271970946529,23.7
451,3,3,-0.15060054299851,40.8
451,3,4,1.65616255666667,96.2
451,3,5,NaN,NaN
451,3,6,0.523210471206149,81.4
451,3,7,NaN,NaN
451,3,8,0.428083922425565,75.4
451,3,9,-0.672547023350075,5.7
451,3,10,0.201750215468119,63.2
451,3,11,-2.89006983301192,0.7
451,3,12,-0.0337184827258774,49.2
451,3,13,0.0527151685020965,52.8
451,3,14,-0.380778712177262,29.1
451,3,15,-0.0672473108678142,63
451,3,16,1.1458434234742,91.8
451,3,17,0.0706036618144019,57.2
451,3,18,-0.22343227662076,32.1
451,3,19,3.98960056278921,98.4
451,3,20,5.25636959149971,99.2
451,3,21,1.60554075539007,94.3
451,3,22,0.275152316465668,71.2
451,3,23,0.244147891887344,66.4
451,3,24,1.28619874144966,93.5
451,3,25,-1.70570636261291,4.1
451,3,26,1.67221622696566,97.8
451,3,27,0.0725009171513411,58.5
451,3,28,0.0950090912997184,56.4
451,3,29,0.570080210402112,80.2
451,3,30,-0.0459716857524233,43.6
451,3,31,0.668217903055604,81
451,3,32,1.07980588829395,88.7
451,3,33,-0.0731009890347265,46.2
451,3,34,-0.233547426691699,34.3
451,3,35,1.84833864029864,96.1
451,3,36,-0.23363224666008,35.1
451,3,37,0.175731417040574,83.4
451,3,38,-0.363976870944619,30
451,3,39,-1.3064764362003,7
451,3,40,-0.070514896180239,41.1
451,3,41,-0.120265067143388,42.3
451,3,42,NaN,NaN
451,3,43,-0.104525262706597,59.4
451,3,44,-0.131696670780331,51.2
485,1,1,3.3746849672045,97.6
485,1,2,-1.9074061232547,0.5
485,1,3,-0.126184469379735,47.9
485,1,4,-0.135731586436885,49
485,1,5,1.56557247427095,94
485,1,6,0.208118054357599,72
485,1,7,-0.1377813725653,62.6
485,1,8,-0.138495208753088,47.9
485,1,9,NaN,NaN
485,1,10,11.3357433916726,100
485,1,11,-0.0969002401233039,62.6
485,1,12,-0.966785661547256,10.3
485,1,13,4.44392981067609,99.5
485,1,14,NaN,NaN
485,1,15,-0.86838422902689,8
485,1,16,NaN,NaN
485,1,17,5.21250136170141,99.9
485,1,18,-0.117949406521533,50.4
485,1,19,0.838474401858095,91.6
485,1,20,NaN,NaN
485,1,21,0.0851262585965273,65
485,1,22,-0.279843378178618,32.3
485,1,23,-0.987753284131461,5.9
485,1,24,-0.0803416831354708,54.4
485,1,25,0.970452713047473,89.8
485,1,26,1.11822030452606,91.4
485,1,27,0.160812232231991,78.9
485,1,28,10.2150937693059,100
485,1,29,-0.398441579271512,20.9
485,1,30,-0.131103994307369,46.3
485,1,31,0.507241734657146,75.7
485,1,32,-0.639404316882465,19.5
485,1,33,-0.291884536578029,31.5
485,1,34,0.0985781452731781,64.1
485,1,35,-0.640083701673844,17.9
485,1,36,2.10867624784861,97.1
485,1,37,3.83518083337791,98.5
485,1,38,-0.292114768122239,45.7
485,2,1,-0.101974209095506,71.8
485,2,2,2.23551076378881,95.6
485,2,3,-0.476964928140606,18.1
485,2,4,NaN,NaN
485,2,5,-0.843493485813644,7.9
485,2,6,2.04882094570881,92.7
485,2,7,-0.266636510277664,66.1
485,2,8,0.469047444330384,90.2
485,2,9,-0.256823169116412,35.8
485,2,10,-1.0579661656461,1.7
485,2,11,-0.622653527895621,8.8
485,2,12,1.76627699610472,94.3
485,2,13,-0.865285318135799,3.9
485,2,14,1.27557618785494,93.6
485,2,15,-0.0180727331344092,77.3
485,2,16,-0.159019476599428,61.7
485,2,17,-0.314219148110281,26.2
485,2,18,-0.419753701533133,28.1
485,2,19,-0.488885058570937,17.4
485,2,20,-0.448513520781412,14.9
485,2,21,-0.122600305911458,63.1
485,2,22,-0.26928805759205,38.4
485,2,23,-0.0750622340043919,70.4
485,2,24,0.220681125464715,84.7
485,2,25,-0.24143370686755,47
485,2,26,0.0157216380921818,73.8
485,2,27,6.78659347304534,100
485,2,28,-0.583182594374804,13.3
485,2,29,-0.288639159510767,36
485,2,30,NaN,NaN
485,2,31,-0.246465645405877,43.9
485,2,32,-0.314779457006594,41.7
485,2,33,-0.407655126078551,14.3
485,2,34,-0.290729270921674,54.4
485,2,35,NaN,NaN
485,2,36,-0.230543074091949,35.7
485,2,37,-0.200569273728223,53.8
485,2,38,-0.395949150277612,38.7
485,2,39,-0.261358605335246,58.2
485,2,40,2.04325414456321,96.7
485,2,41,1.53766760889139,87.3
485,3,1,0.605280735795892,80.6
485,3,2,-0.159886788293498,39.7
485,3,3,1.18747531916393,90.4
485,3,4,0.571648764994791,77.2
485,3,5,-1.601020029445,5.3
485,3,6,0.425342499427757,74.1
485,3,7,-0.369899306455993,23
485,3,8,1.37634624199229,91.3
485,3,9,0.615715221550853,80.3
485,3,10,-0.128269089253275,45.5
485,3,11,0.173244380777922,65.4
485,3,12,-0.616142069220649,22.2
485,3,13,-0.800002897716493,15.6
485,3,14,-0.251338591303711,34.9
485,3,15,-0.261329375944125,32.3
485,3,16,0.131517290788146,63
485,3,17,-0.327562668711253,31.1
485,3,18,2.84260345125008,99.2
485,3,19,-0.916277530210151,13.5
485,3,20,0.399995183493881,73.8
485,3,21,-2.2419853482868,1.4
485,3,22,0.129672557871452,62.8
485,3,23,-0.448882057929468,26.5
485,3,24,-3.97227491822833,0.1
485,3,25,-0.226177814587671,42.6
485,3,26,0.750956130569355,82.4
485,3,27,2.40247171686825,97.6
485,3,28,0.269510380313712,89
487,1,1,-0.160945200922218,43.7
487,1,2,0.416160435242672,78.1
487,1,3,-1.20093739939822,7.6
487,1,4,0.743937959797289,84.1
487,1,5,0.373662473831942,75
487,1,6,-0.0933156613841885,43
487,1,7,0.12149946931843,60.1
487,1,8,0.651913271874364,84.1
487,1,9,0.123506846408718,64.8
487,1,10,-0.851627672947964,12.9
487,1,11,0.815034016622556,86.5
487,1,12,-0.18605050446389,39.5
487,1,13,-0.342822180629298,25.4
487,1,14,0.607725814709259,83.3
487,1,15,0.575533270473213,76.6
487,1,16,-1.49757663421954,4.9
487,1,17,0.00470062516794287,55.7
487,1,18,-0.572954730229274,21.7
487,1,19,-0.161354210865632,43.5
487,1,20,0.0540725867815023,54.2
487,1,21,-0.0793852221386221,55.2
487,1,22,-0.570174327783135,22.3
487,1,23,0.771675664559016,85.5
487,2,1,NaN,35.5
487,2,2,NaN,17.2
