Animal,Epoch,Cell,Dev_Ptnr_post,Pval_Ptnr_post
485,1,20,1.518071073,94.1
485,1,21,-3.918139243,0
485,1,22,-0.57899593,20.5
485,1,23,-0.024128253,54.6
485,1,24,0.477062463,76.9
485,1,25,-0.800164073,15.9
485,1,26,-2.560389886,0.6
485,1,27,-2.45100155,0.7
485,1,28,-1.427511559,5.3
485,1,29,-0.379445276,31.8
485,1,30,0.993243485,85.8
485,1,31,3.617568258,99.4
485,1,32,0.937076668,86.8
485,1,33,-0.327406681,32
485,1,34,-0.145177952,43.6
485,1,35,-0.051186986,54.5
485,1,36,2.261071311,96.9
485,1,37,-1.934874222,2.7
485,1,38,-1.703820415,3.7
485,2,1,NaN,NaN
485,2,2,NaN,NaN
485,2,3,6.815045182,99.8
485,2,4,-0.344859983,17.1
485,2,5,-0.300141916,17.6
485,2,6,0.019791484,64.9
485,2,7,-0.378851874,37.6
485,2,8,-0.475817646,13.6
485,2,9,-0.41223978,34.4
485,2,10,-0.166216837,19.7
485,2,11,-6.484451516,0.2
485,2,12,4.889414191,99.6
485,2,13,1.400649581,95.6
485,2,14,-0.387626625,20.6
485,2,15,5.446058148,99.7
485,2,16,-0.205032786,18.4
485,2,17,-14.88499818,0
485,2,18,6.048517141,99.7
485,2,19,-7.361871393,0.1
485,2,20,-0.802692631,8.2
485,2,21,0.212938709,80.1
485,2,22,27.52319022,100
485,2,23,0.48386788,87.9
485,2,24,2.367380434,97.7
485,2,25,2.00665223,96.2
485,2,26,-4.298055902,0.1
485,2,27,-13.14199357,0
485,2,28,7.653631459,100
485,2,29,2.435224767,98.3
485,2,30,0.02039234,54.3
485,2,31,-0.926969655,11.8
485,2,32,1.863024565,97.6
485,2,33,-0.777419185,9.4
485,2,34,3.237976973,98.7
485,2,35,-0.858653922,6.6
485,2,36,-0.216519729,42.4
485,2,37,-11.63004487,0.1
485,2,38,1.293728729,95.1
485,2,39,1.585056343,96.9
485,2,40,2.190951706,97.1
485,2,41,-5.102643797,0.2
485,3,1,-0.075140894,57.3
485,3,2,-10.9306816,0
485,3,3,-0.270132606,58.1
485,3,4,0.610689257,90.3
485,3,5,0.068365122,66.1
485,3,6,0.402833495,87.4
485,3,7,-1.640336961,3.5
485,3,8,-0.573360264,43.6
485,3,9,-0.530590905,47.4
485,3,10,1.47340168,97.3
485,3,11,-0.135614743,55.4
485,3,12,1.980413225,96.8
485,3,13,7.571853614,100
485,3,14,-0.439269998,54
485,3,15,-0.551831245,33.2
485,3,16,-3.137463704,1
485,3,17,-0.372810674,50
485,3,18,-11.86790309,0
485,3,19,0.365587945,72.3
485,3,20,0.932810581,84.9
485,3,21,-0.677627579,17.4
485,3,22,-7.455594767,0
485,3,23,-0.507404683,10.5
485,3,24,-2.995309571,1.3
485,3,25,-3.974429472,0.3
485,3,26,-0.011809628,66.1
485,3,27,-0.571760124,44
485,3,28,-10.94118738,0
487,1,1,-0.353907491,26.2
487,1,2,NaN,NaN
487,1,3,NaN,NaN
487,1,4,-0.507797432,23.1
487,1,5,-0.259520563,58.9
487,1,6,-0.176608902,50.5
487,1,7,-0.658344915,5.9
487,1,8,-0.281010231,41.3
487,1,9,3.945441242,99.4
487,1,10,NaN,NaN
487,1,11,0.835199126,92.7
487,1,12,NaN,NaN
487,1,13,-0.475390632,31.3
487,1,14,-0.560539859,17.3
487,1,15,-0.693165715,10.5
487,1,16,-0.515348499,16.7
487,1,17,NaN,NaN
487,1,18,-0.354350753,27.5
487,1,19,0.041012795,70.4
487,1,20,-0.236535009,45.5
487,1,21,NaN,NaN
487,1,22,-0.050975766,58.3
487,1,23,3.433219916,97.9
487,2,1,NaN,NaN
487,2,2,NaN,NaN
487,2,3,NaN,NaN
487,2,4,NaN,0
487,2,5,NaN,0
487,2,6,NaN,0
487,2,7,NaN,NaN
487,2,8,NaN,0
487,2,9,NaN,56.6
487,2,10,NaN,65.3
487,2,11,NaN,0
487,2,12,NaN,55.2
487,2,13,NaN,0
487,2,14,NaN,0
487,2,15,NaN,0
487,2,16,NaN,0
487,2,17,NaN,0
487,2,18,NaN,4.4
487,2,19,NaN,0
487,2,20,NaN,38.2
487,2,21,NaN,0
487,2,22,NaN,1.8
487,2,23,NaN,0
487,2,24,NaN,0
487,2,25,NaN,0
487,2,26,NaN,0
487,2,27,NaN,NaN
487,2,28,NaN,11.5
487,2,29,NaN,0.5
487,2,30,NaN,1.3
487,2,31,NaN,0
487,2,32,NaN,0
487,2,33,NaN,0
487,2,34,NaN,13.4
487,3,1,-0.178612037,49
487,3,2,NaN,NaN
487,3,3,-0.186781775,62.7
